request_id,latency,batch_size,model
fc7614e1,5.538275374972727,4,gpt2-124m
c9437b84,3.061448874999769,4,gpt2-124m
5ad8a99d,1.8806125840055756,4,gpt2-124m
f3455175,0.774400666996371,4,gpt2-124m
62c390ae,8.660503040999174,1,gpt2medium-355m
c932,3.6676825410104357,1,gpt2medium-355m
4e7a,3.667658416030463,1,gpt2medium-355m
689c,3.6676415409892797,1,gpt2medium-355m
46aea331,6.719096624990925,3,distilgpt2-124m
c033873b,4.893822582962457,3,distilgpt2-124m
41461291,2.02295554097509,3,distilgpt2-124m
f5f3,1.2355079999542795,3,distilgpt2-124m
ef79ad4a,10.321643333998509,3,gpt2medium-355m
7289302d,7.782959334028419,3,gpt2medium-355m
9a93a7d2,4.48179941700073,3,gpt2medium-355m
dbc5,2.759574000025168,3,gpt2medium-355m
019c24d3,7.34399362502154,2,gpt2-124m
01d6d749,4.425919208035339,2,gpt2-124m
70ab,0.9253995830076747,2,gpt2-124m
94eb,0.9253964580129832,2,gpt2-124m
c52cb1c4,5.616465125000104,1,distilgpt2-124m
c50b,0.6293650000006892,1,distilgpt2-124m
bcd0,0.6293471659882925,1,distilgpt2-124m
2df7,0.6293347909813747,1,distilgpt2-124m
