request_id,latency,batch_size,model
ad473819,0.4700726660012151,1,gpt2-124m
23edf7fd,0.12138454200248816,1,gpt2-124m
8606d7e1,1.367032250000193,1,gpt2medium-355m
be529dc4,2.159921459002362,2,gpt2-124m
3568a639,1.8045210420023068,2,gpt2-124m
0de3f272,1.7045313750022615,2,distilgpt2-124m
68855cc9,1.095828707999317,2,distilgpt2-124m
5e0f7b2c,1.9524723750000703,1,gpt2medium-355m
9b510dbb,1.967516083001101,1,distilgpt2-124m
ead0f39a,1.867168540997227,2,gpt2-124m
03b0db9c,0.8924391660002584,2,gpt2-124m
4f5be233,4.845246542001405,2,gpt2medium-355m
7f8c949c,3.7441832500007877,2,gpt2medium-355m
5000dee3,3.5760293750026904,2,distilgpt2-124m
afd63cc6,0.5713225840008818,2,distilgpt2-124m
19672e06,3.3251979169981496,2,gpt2-124m
02b20887,2.1264690839998366,2,gpt2-124m
32fa96ac,0.4289405830022588,1,gpt2-124m
dc449b7d,1.4793920419979258,1,gpt2medium-355m
a4398542,2.839874332999898,2,gpt2medium-355m
29ac1081,2.206170249999559,2,gpt2medium-355m
a8837b0c,0.9750364160026948,1,gpt2-124m
fa67a08e,3.0439167500007898,1,gpt2medium-355m
bac1f144,2.5824882079978124,2,distilgpt2-124m
6494bf47,1.5211909169993305,2,distilgpt2-124m
c6a1a111,1.0940633329992124,1,gpt2-124m
065105fc,1.5689231249998556,1,distilgpt2-124m
