model_name,model_size,mean_loading_time,mean_unloading_time
gpt2-124m,0.93,0.0566,0.0043
distilgpt2-124m,0.61,0.0417,0.0042
gptneo-125m,0.94,0.049,0.006
gpt2medium-355m,2.65,0.0931,0.0068
