model_alias,batch_size,processing_time,throughput
gptneo-125m,32,4.142977166018682,7.724
gptneo-125m,64,6.255781791987829,10.231
gptneo-125m,64,7.890527584007941,8.111
gptneo-125m,64,9.295961458992679,6.885
gptneo-125m,64,8.190800584008684,7.814
gptneo-125m,64,8.243030959012685,7.764
gptneo-125m,128,17.445370750006987,7.337
gptneo-125m,128,16.722157457988942,7.655
gptneo-125m,128,13.818397625000216,9.263
gptneo-125m,128,13.02329379101866,9.829
gptneo-125m,128,15.15757774998201,8.445
gptneo-125m,256,34.46877512498759,7.427
gptneo-125m,256,33.93368179097888,7.544
gptneo-125m,256,33.37277637500665,7.671
gptneo-125m,256,32.968709041015245,7.765
gptneo-125m,256,33.59196945797885,7.621
