model_name,model_size,mean_loading_time,mean_unloading_time
gpt2-124m,0.93,0.0549,0.0046
distilgpt2-124m,0.61,0.0365,0.004
gptneo-125m,0.94,0.0507,0.0058
gpt2medium-355m,2.65,0.0601,0.007
