request_id,arrival time,timestamp,model,batch_size,latency (s),processing time (s),throughput (qps)
69a3b660,122337.297052916,20240918_130016,gpt2medium-355m,16,19.1,15.236,1.05
0f0160fb,122337.44884925,20240918_130017,gpt2medium-355m,16,18.948,15.236,1.05
e4f7f8ca,122337.842532041,20240918_130017,gpt2medium-355m,16,18.555,15.236,1.05
d3860175,122337.896558875,20240918_130017,gpt2medium-355m,16,18.501,15.236,1.05
bdd457fd,122337.959300083,20240918_130017,gpt2medium-355m,16,18.438,15.236,1.05
31a43fdd,122338.368287541,20240918_130017,gpt2medium-355m,16,18.029,15.236,1.05
8a4e2fcc,122339.008479458,20240918_130017,gpt2medium-355m,16,17.389,15.236,1.05
df80d172,122339.1269625,20240918_130017,gpt2medium-355m,16,17.27,15.236,1.05
fb553c3a,122339.281743958,20240918_130017,gpt2medium-355m,16,17.115,15.236,1.05
10235460,122339.71792875,20240918_130017,gpt2medium-355m,16,16.679,15.236,1.05
7670e361,122339.945723833,20240918_130017,gpt2medium-355m,16,16.451,15.236,1.05
77ff59a1,122340.117480375,20240918_130017,gpt2medium-355m,16,16.28,15.236,1.05
2959b4ba,122340.539602458,20240918_130017,gpt2medium-355m,16,15.858,15.236,1.05
e5660d48,122340.742328083,20240918_130017,gpt2medium-355m,16,15.655,15.236,1.05
975d966b,122340.855506625,20240918_130017,gpt2medium-355m,16,15.542,15.236,1.05
6e9045ce,122340.999566958,20240918_130017,gpt2medium-355m,16,15.398,15.236,1.05
6b5f9d63,122348.749053,20240918_130022,gpt2-124m,16,12.824,5.096,3.14
02848ef0,122349.272025458,20240918_130022,gpt2-124m,16,12.301,5.096,3.14
f9a5d2bf,122349.333680041,20240918_130022,gpt2-124m,16,12.24,5.096,3.14
89c21cda,122349.93925025,20240918_130022,gpt2-124m,16,11.634,5.096,3.14
8ade90a2,122349.946116208,20240918_130022,gpt2-124m,16,11.627,5.096,3.14
232134cc,122350.016968208,20240918_130022,gpt2-124m,16,11.556,5.096,3.14
6dfdeeff,122350.435420583,20240918_130022,gpt2-124m,16,11.138,5.096,3.14
32a1cf8e,122350.981362083,20240918_130022,gpt2-124m,16,10.592,5.096,3.14
78fb8063,122351.051439375,20240918_130022,gpt2-124m,16,10.522,5.096,3.14
a4053fb5,122351.271009708,20240918_130022,gpt2-124m,16,10.302,5.096,3.14
e8dbdb63,122351.888860791,20240918_130022,gpt2-124m,16,9.685,5.096,3.14
8debac3a,122352.254752916,20240918_130022,gpt2-124m,16,9.319,5.096,3.14
b3bdcdac,122352.322465416,20240918_130022,gpt2-124m,16,9.251,5.096,3.14
a1e08c39,122352.694784083,20240918_130022,gpt2-124m,16,8.879,5.096,3.14
3bb78437,122352.972169791,20240918_130022,gpt2-124m,16,8.601,5.096,3.14
630956d8,122353.671038666,20240918_130022,gpt2-124m,16,7.902,5.096,3.14
223372d4,122353.372864041,20240918_130026,distilgpt2-124m,16,12.028,3.764,4.251
e1d1a073,122353.787308291,20240918_130026,distilgpt2-124m,16,11.614,3.764,4.251
05cc0b92,122354.692216,20240918_130026,distilgpt2-124m,16,10.709,3.764,4.251
52a63b37,122356.211335791,20240918_130026,distilgpt2-124m,16,9.189,3.764,4.251
d2e237df,122356.333446708,20240918_130026,distilgpt2-124m,16,9.067,3.764,4.251
2b90c4f9,122357.17148925,20240918_130026,distilgpt2-124m,16,8.229,3.764,4.251
5621dd94,122357.344751208,20240918_130026,distilgpt2-124m,16,8.056,3.764,4.251
38015179,122357.582957666,20240918_130026,distilgpt2-124m,16,7.818,3.764,4.251
35031f93,122357.65231,20240918_130026,distilgpt2-124m,16,7.749,3.764,4.251
ae518d87,122358.082472416,20240918_130026,distilgpt2-124m,16,7.318,3.764,4.251
39d53715,122358.533350041,20240918_130026,distilgpt2-124m,16,6.867,3.764,4.251
68fbfe29,122358.871038,20240918_130026,distilgpt2-124m,16,6.53,3.764,4.251
d301a74b,122358.966599291,20240918_130026,distilgpt2-124m,16,6.434,3.764,4.251
ff12e73d,122359.38568925,20240918_130026,distilgpt2-124m,16,6.015,3.764,4.251
f7ca2ea4,122359.686539958,20240918_130026,distilgpt2-124m,16,5.714,3.764,4.251
bbaabffb,122359.9945075,20240918_130026,distilgpt2-124m,16,5.406,3.764,4.251
fb4e35f9,122351.348965166,20240918_130035,gpt2medium-355m,16,23.419,9.228,1.734
bc32e687,122351.639330875,20240918_130035,gpt2medium-355m,16,23.129,9.228,1.734
031fdd89,122352.056705583,20240918_130035,gpt2medium-355m,16,22.712,9.228,1.734
eda5a2de,122352.280677625,20240918_130035,gpt2medium-355m,16,22.488,9.228,1.734
51854247,122352.681217625,20240918_130035,gpt2medium-355m,16,22.087,9.228,1.734
4fb6839d,122353.402950708,20240918_130035,gpt2medium-355m,16,21.365,9.228,1.734
dee11e4b,122354.061308416,20240918_130035,gpt2medium-355m,16,20.707,9.228,1.734
f56c4e1f,122354.38976075,20240918_130035,gpt2medium-355m,16,20.379,9.228,1.734
f67ab7a8,122355.255207166,20240918_130035,gpt2medium-355m,16,19.513,9.228,1.734
1c81663c,122355.94188675,20240918_130035,gpt2medium-355m,16,18.826,9.228,1.734
bc658a05,122356.630524166,20240918_130035,gpt2medium-355m,16,18.138,9.228,1.734
8b7ea69d,122356.932802,20240918_130035,gpt2medium-355m,16,17.836,9.228,1.734
9fda6cf3,122358.082818541,20240918_130035,gpt2medium-355m,16,16.685,9.228,1.734
145286a0,122359.742035875,20240918_130035,gpt2medium-355m,16,15.026,9.228,1.734
20fd3166,122360.368178,20240918_130035,gpt2medium-355m,16,14.4,9.228,1.734
26d1e3c6,122360.442274625,20240918_130035,gpt2medium-355m,16,14.326,9.228,1.734
5b12f52c,122369.38683575,20240918_130039,gpt2-124m,16,9.562,4.093,3.909
81df0b10,122369.523934666,20240918_130039,gpt2-124m,16,9.425,4.093,3.909
2d601c64,122369.54044575,20240918_130039,gpt2-124m,16,9.408,4.093,3.909
e6e0d9dc,122369.564026333,20240918_130039,gpt2-124m,16,9.385,4.093,3.909
a06b8476,122369.826659458,20240918_130039,gpt2-124m,16,9.122,4.093,3.909
465d0cdf,122370.103105416,20240918_130039,gpt2-124m,16,8.846,4.093,3.909
245fc1d8,122370.364740625,20240918_130039,gpt2-124m,16,8.584,4.093,3.909
4f8cb6de,122370.521211041,20240918_130039,gpt2-124m,16,8.428,4.093,3.909
9c8e7711,122370.551882458,20240918_130039,gpt2-124m,16,8.397,4.093,3.909
f449f702,122370.624525541,20240918_130039,gpt2-124m,16,8.324,4.093,3.909
cbf86515,122370.84796525,20240918_130039,gpt2-124m,16,8.101,4.093,3.909
019501cb,122371.662016833,20240918_130039,gpt2-124m,16,7.287,4.093,3.909
46733cf8,122371.934323208,20240918_130039,gpt2-124m,16,7.014,4.093,3.909
f6b89f03,122372.439148416,20240918_130039,gpt2-124m,16,6.51,4.093,3.909
2da97707,122372.76231075,20240918_130039,gpt2-124m,16,6.187,4.093,3.909
715445c8,122372.828898583,20240918_130039,gpt2-124m,16,6.12,4.093,3.909
37007c7d,122374.433811791,20240918_130043,distilgpt2-124m,16,8.044,3.452,4.635
9bd19d56,122374.699368416,20240918_130043,distilgpt2-124m,16,7.779,3.452,4.635
9bebb7cd,122375.19456375,20240918_130043,distilgpt2-124m,16,7.284,3.452,4.635
6ad8a137,122375.238662625,20240918_130043,distilgpt2-124m,16,7.24,3.452,4.635
90497c1c,122375.402511875,20240918_130043,distilgpt2-124m,16,7.076,3.452,4.635
34473320,122375.866797833,20240918_130043,distilgpt2-124m,16,6.611,3.452,4.635
6b85b42b,122376.256834291,20240918_130043,distilgpt2-124m,16,6.221,3.452,4.635
7b2fb641,122376.805081416,20240918_130043,distilgpt2-124m,16,5.673,3.452,4.635
365dea9e,122376.938220041,20240918_130043,distilgpt2-124m,16,5.54,3.452,4.635
e74422ad,122377.040265458,20240918_130043,distilgpt2-124m,16,5.438,3.452,4.635
e89479dc,122377.2216465,20240918_130043,distilgpt2-124m,16,5.257,3.452,4.635
2a0b4c39,122377.8376075,20240918_130043,distilgpt2-124m,16,4.641,3.452,4.635
77c5b469,122377.89358025,20240918_130043,distilgpt2-124m,16,4.585,3.452,4.635
30cc8342,122378.130470625,20240918_130043,distilgpt2-124m,16,4.348,3.452,4.635
ae944273,122378.197414458,20240918_130043,distilgpt2-124m,16,4.281,3.452,4.635
f3edc00c,122378.329878958,20240918_130043,distilgpt2-124m,16,4.148,3.452,4.635
5f2e764a,122375.554940375,20240918_130055,gpt2medium-355m,16,19.326,12.16,1.316
38833d87,122376.090663625,20240918_130055,gpt2medium-355m,16,18.79,12.16,1.316
7fd8bd06,122376.122568041,20240918_130055,gpt2medium-355m,16,18.758,12.16,1.316
7a18baa2,122376.303399625,20240918_130055,gpt2medium-355m,16,18.577,12.16,1.316
12faf7f1,122377.2972675,20240918_130055,gpt2medium-355m,16,17.584,12.16,1.316
064743db,122377.575683708,20240918_130055,gpt2medium-355m,16,17.305,12.16,1.316
104955f8,122377.620229541,20240918_130055,gpt2medium-355m,16,17.261,12.16,1.316
7dc15f96,122378.029356666,20240918_130055,gpt2medium-355m,16,16.851,12.16,1.316
1d264bf7,122378.058953333,20240918_130055,gpt2medium-355m,16,16.822,12.16,1.316
7a6d26b6,122378.094278625,20240918_130055,gpt2medium-355m,16,16.787,12.16,1.316
19e5bbc7,122378.332597625,20240918_130055,gpt2medium-355m,16,16.548,12.16,1.316
471bf5ce,122378.52306925,20240918_130055,gpt2medium-355m,16,16.358,12.16,1.316
b6a93961,122378.870755416,20240918_130055,gpt2medium-355m,16,16.01,12.16,1.316
32c698d1,122378.903002416,20240918_130055,gpt2medium-355m,16,15.978,12.16,1.316
7f959608,122379.27250175,20240918_130055,gpt2medium-355m,16,15.608,12.16,1.316
ad9a9cb8,122379.2821605,20240918_130055,gpt2medium-355m,16,15.599,12.16,1.316
822795ed,122385.549990541,20240918_130058,distilgpt2-124m,16,12.04,2.638,6.065
c513ca4c,122385.861400333,20240918_130058,distilgpt2-124m,16,11.728,2.638,6.065
19f56239,122385.951983916,20240918_130058,distilgpt2-124m,16,11.638,2.638,6.065
c8bb0b16,122386.571788125,20240918_130058,distilgpt2-124m,16,11.018,2.638,6.065
3fc78967,122386.799025541,20240918_130058,distilgpt2-124m,16,10.791,2.638,6.065
552eca43,122387.994464083,20240918_130058,distilgpt2-124m,16,9.595,2.638,6.065
e6449ccd,122388.272271125,20240918_130058,distilgpt2-124m,16,9.317,2.638,6.065
c4cfd5d2,122388.568148375,20240918_130058,distilgpt2-124m,16,9.021,2.638,6.065
51a02c13,122389.172729208,20240918_130058,distilgpt2-124m,16,8.417,2.638,6.065
e091645f,122389.642013083,20240918_130058,distilgpt2-124m,16,7.948,2.638,6.065
867d37e4,122391.081533625,20240918_130058,distilgpt2-124m,16,6.508,2.638,6.065
