request_id,latency,batch_size,model
f8355ae8,4.161677917000816,2,gpt2-124m
f0a912cf,1.6846437920003154,2,gpt2-124m
2236,0.7566110840007241,2,gpt2-124m
a3d1,0.7565815000007206,2,gpt2-124m
5e82f019,3.893795957999828,1,gpt2medium-355m
fd1f,3.0976027910000994,1,gpt2medium-355m
3695,3.0975997080004163,1,gpt2medium-355m
6b9b,3.0975974160000987,1,gpt2medium-355m
21f0e959,5.392582540999683,2,gpt2-124m
dfdf38b6,4.2832395409996025,2,gpt2-124m
bd72,0.8435592910000196,2,gpt2-124m
81b7,0.8435384579997844,2,gpt2-124m
1cdd032a,2.3777058750001743,1,gpt2medium-355m
f2b0,2.3575696249999964,1,gpt2medium-355m
5220,2.357566042000144,1,gpt2medium-355m
23f9,2.357563792000292,1,gpt2medium-355m
c3ac7746,7.203678791999664,3,distilgpt2-124m
c52f0386,5.377793874999952,3,distilgpt2-124m
601c4799,2.506298291999883,3,distilgpt2-124m
8b71,1.1969145000002754,3,distilgpt2-124m
3387e778,3.6883930840003814,1,gpt2medium-355m
847d,2.4399709589997656,1,gpt2medium-355m
fa87,2.439967584000442,1,gpt2medium-355m
cf2e,2.439965417000167,1,gpt2medium-355m
b0d4af6e,4.291937834000237,2,gpt2-124m
309f4b00,1.3694379170001412,2,gpt2-124m
cffe,0.9253802090006502,2,gpt2-124m
7ea5,0.9253633750004155,2,gpt2-124m
41bb7803,4.85322908299986,1,distilgpt2-124m
3ace,0.6298982499993144,1,distilgpt2-124m
0d3c,0.6298787919995448,1,distilgpt2-124m
8a43,0.6298661249993529,1,distilgpt2-124m
