request_id,latency,batch_size,model
ecc52deb,5.584935957999733,4,gpt2-124m
f16c450f,3.1081537500003833,4,gpt2-124m
35c27461,1.9277647079998133,4,gpt2-124m
8a8d5a32,0.8166117079999822,4,gpt2-124m
6688efac,5.711745790999885,1,gpt2medium-355m
c689,2.693907708000552,1,gpt2medium-355m
7c74,2.6938814579998507,1,gpt2medium-355m
9a0e,2.6938672500000393,1,gpt2medium-355m
669a7c98,5.0961220829995,2,gpt2medium-355m
65c0bdb0,2.554253332999906,2,gpt2medium-355m
03ab,2.1430282080000325,2,gpt2medium-355m
f645,2.14300804100003,2,gpt2medium-355m
a3b56f3c,9.372832166999615,3,distilgpt2-124m
fd8eddad,7.547733792000145,3,distilgpt2-124m
21778dc6,4.672193542000059,3,distilgpt2-124m
43df,0.6464469579996148,3,distilgpt2-124m
ad932f2a,5.651029582999399,1,gpt2medium-355m
d54a,2.633300249999593,1,gpt2medium-355m
bc21,2.63327874999959,1,gpt2medium-355m
871e,2.6332648329998847,1,gpt2medium-355m
88b2c644,8.43167883299975,2,gpt2-124m
0e3fb3d0,5.509828541000388,2,gpt2-124m
917c,0.8459206249999625,2,gpt2-124m
6b84,0.8459175830003005,2,gpt2-124m
5645aabb,7.862289042000157,1,distilgpt2-124m
c6e4,0.6505657919997248,1,distilgpt2-124m
73f6,0.6505459589998281,1,distilgpt2-124m
5167,0.6505336250002074,1,distilgpt2-124m
