model_name,mean_loading_time,mean_unloading_time
gpt2-124m,0.05505027770996094,0.004462647438049317
distilgpt2-124m,0.036515545845031736,0.004018402099609375
gptneo-125m,0.04954516887664795,0.005601572990417481
gpt2medium-355m,0.0621584415435791,0.0071005582809448246
