model_alias,batch_size,processing_time
gpt2-124m,1,1.258633708988782
gpt2-124m,1,0.38437720798538066
gpt2-124m,1,0.3801934579969384
gpt2-124m,1,0.3640714159992058
gpt2-124m,1,0.3596191669930704
gpt2-124m,2,0.5476201670244336
gpt2-124m,2,0.527875125000719
gpt2-124m,2,0.5841471250168979
gpt2-124m,2,0.5211551249958575
gpt2-124m,2,0.5729630829882808
gpt2-124m,4,0.6579510000010487
gpt2-124m,4,0.5910603329830337
gpt2-124m,4,0.7328454579983372
gpt2-124m,4,0.6329586250067223
gpt2-124m,4,0.6010309999983292
gpt2-124m,8,0.7904355000064243
gpt2-124m,8,1.1128997089981567
gpt2-124m,8,0.7851874170009978
gpt2-124m,8,0.8110379589779768
gpt2-124m,8,0.9454396250075661
gpt2-124m,16,1.3121317090117373
gpt2-124m,16,1.388198291999288
gpt2-124m,16,1.3953074169985484
gpt2-124m,16,1.7678807500051335
gpt2-124m,16,1.535565250000218
distilgpt2-124m,1,0.6987479999952484
distilgpt2-124m,1,0.27752125001279637
distilgpt2-124m,1,0.3019878330233041
distilgpt2-124m,1,0.27809645800152794
distilgpt2-124m,1,0.2705893329984974
distilgpt2-124m,2,0.45168416600790806
distilgpt2-124m,2,0.4293026670056861
distilgpt2-124m,2,0.40839900000719354
distilgpt2-124m,2,0.4090105420036707
distilgpt2-124m,2,0.39679316701949574
distilgpt2-124m,4,0.4643106250150595
distilgpt2-124m,4,0.49651245900895447
distilgpt2-124m,4,0.46567462498205714
distilgpt2-124m,4,0.4980218750133645
distilgpt2-124m,4,0.5234085000120103
distilgpt2-124m,8,0.5718122920079622
distilgpt2-124m,8,0.5785467090026941
distilgpt2-124m,8,0.7473489160183817
distilgpt2-124m,8,0.5877001660119276
distilgpt2-124m,8,0.6048164580133744
distilgpt2-124m,16,0.9784409579879139
distilgpt2-124m,16,0.9533567910257261
distilgpt2-124m,16,0.9309010409924667
distilgpt2-124m,16,0.9968747909879312
distilgpt2-124m,16,0.8467909169849008
gptneo-125m,1,1.1294813330168836
gptneo-125m,1,0.3734676669992041
gptneo-125m,1,0.3652056670107413
gptneo-125m,1,0.3748907079861965
gptneo-125m,1,0.3784242919937242
gptneo-125m,2,1.2963158749917056
gptneo-125m,2,1.2200057499867398
gptneo-125m,2,1.241653042001417
gptneo-125m,2,1.2635553750151303
gptneo-125m,2,1.4045307090273127
gptneo-125m,4,1.3350975000066683
gptneo-125m,4,1.338376874977257
gptneo-125m,4,1.4048342920141295
gptneo-125m,4,1.361712209007237
gptneo-125m,4,1.2384840410086326
gptneo-125m,8,1.5611422090150882
gptneo-125m,8,1.2308906249818392
gptneo-125m,8,1.3417093330062926
gptneo-125m,8,1.7154969999974128
gptneo-125m,8,1.479683457990177
gptneo-125m,16,1.3482455000048503
gptneo-125m,16,1.9861920420080423
gptneo-125m,16,1.440721457998734
gptneo-125m,16,1.7352525829919614
gptneo-125m,16,1.4558572079986334
