request_id,latency,batch_size,model
dc232f15,5.577057167014573,4,gpt2-124m
76c77a5d,3.0990894999704324,4,gpt2-124m
43a5cf9c,1.918378959002439,4,gpt2-124m
c3b26d09,0.8084640419692732,4,gpt2-124m
f1334e0e,5.124181000050157,1,gpt2medium-355m
f7eb,2.7001353329978883,1,gpt2medium-355m
b05e,2.7001275829970837,1,gpt2medium-355m
e6a7,2.7001233330229297,1,gpt2medium-355m
868b794c,6.765303042018786,3,distilgpt2-124m
36d8dab9,4.940393041993957,3,distilgpt2-124m
8889e14e,2.0639895829954185,3,distilgpt2-124m
6422,1.2848123330040835,3,distilgpt2-124m
36d45057,5.836965417023748,2,gpt2medium-355m
fbe8b02e,3.3001514589996077,2,gpt2medium-355m
1bf9,2.490238333994057,2,gpt2medium-355m
201e,2.49023508396931,2,gpt2medium-355m
bbdad860,5.87343354098266,2,gpt2-124m
01bbbee1,2.9524813749594614,2,gpt2-124m
7f91,0.9155559999635443,2,gpt2-124m
1c53,0.9155322499573231,2,gpt2-124m
473060b6,6.091594791971147,1,distilgpt2-124m
f302,0.7015454170177691,1,distilgpt2-124m
4ed0,0.701524582982529,1,distilgpt2-124m
c079,0.7015114999958314,1,distilgpt2-124m
