model_name,model_size /GB,mean_loading_time /s,std_loading_time /s,mean_unloading_time /s,std_unloading_time /s
gpt2-124m,0.93,0.068,0.052,0.005,0.0006
distilgpt2-124m,0.61,0.0354,0.0019,0.0045,0.0006
gptneo-125m,0.94,0.0495,0.0046,0.0062,0.0009
gpt2medium-355m,2.65,0.0729,0.0108,0.0077,0.001
