request_id,timestamp,model,batch_size,latency (s),processing time (s),throughput (qps)
6fa320c3,20240918_122318,gpt2medium-355m,8,8.216542291993392,6.232553249996272,1.284
32b2324d,20240918_122318,gpt2medium-355m,8,8.06545208398893,6.232553249996272,1.284
58e6000c,20240918_122318,gpt2medium-355m,8,7.6731077499862295,6.232553249996272,1.284
3a446e76,20240918_122318,gpt2medium-355m,8,7.620006624987582,6.232553249996272,1.284
d28c9407,20240918_122318,gpt2medium-355m,8,7.557015333994059,6.232553249996272,1.284
5f695fcf,20240918_122318,gpt2medium-355m,8,7.146221833987511,6.232553249996272,1.284
b626eb05,20240918_122318,gpt2medium-355m,8,6.50480658399465,6.232553249996272,1.284
acbe83b8,20240918_122318,gpt2medium-355m,8,6.388874208991183,6.232553249996272,1.284
544004c3,20240918_122320,distilgpt2-124m,8,7.5728684999921825,1.6361490830022376,4.89
e70b3104,20240918_122320,distilgpt2-124m,8,7.54985250000027,1.6361490830022376,4.89
b47961c3,20240918_122320,distilgpt2-124m,8,6.501264292004635,1.6361490830022376,4.89
5fcf5541,20240918_122320,distilgpt2-124m,8,5.839944541992736,1.6361490830022376,4.89
0d270f8f,20240918_122320,distilgpt2-124m,8,5.728456875003758,1.6361490830022376,4.89
c77d693f,20240918_122320,distilgpt2-124m,8,5.511948792001931,1.6361490830022376,4.89
b937aace,20240918_122320,distilgpt2-124m,8,4.957297041997663,1.6361490830022376,4.89
46fe78a6,20240918_122320,distilgpt2-124m,8,3.814606542000547,1.6361490830022376,4.89
01f05f26,20240918_122322,gpt2-124m,8,7.51633558399044,2.6040519169910112,3.072
5368fb17,20240918_122322,gpt2-124m,8,6.905943458987167,2.6040519169910112,3.072
a406d9b6,20240918_122322,gpt2-124m,8,6.243940542000928,2.6040519169910112,3.072
0b816c96,20240918_122322,gpt2-124m,8,6.033778666998842,2.6040519169910112,3.072
2b305159,20240918_122322,gpt2-124m,8,5.800201458987431,2.6040519169910112,3.072
113bd6be,20240918_122322,gpt2-124m,8,5.171969416987849,2.6040519169910112,3.072
28bfef6c,20240918_122322,gpt2-124m,8,4.538038291997509,2.6040519169910112,3.072
c190f452,20240918_122322,gpt2-124m,8,4.323124124988681,2.6040519169910112,3.072
da456267,20240918_122330,gpt2medium-355m,8,11.392518249995192,7.112888999996358,1.125
0f8140b9,20240918_122330,gpt2medium-355m,8,11.004673582996475,7.112888999996358,1.125
88dbb4ec,20240918_122330,gpt2medium-355m,8,10.956998749999912,7.112888999996358,1.125
be4c3e09,20240918_122330,gpt2medium-355m,8,10.420269415990333,7.112888999996358,1.125
b61b022f,20240918_122330,gpt2medium-355m,8,10.211338833003538,7.112888999996358,1.125
a71c9dc0,20240918_122330,gpt2medium-355m,8,9.71437191599398,7.112888999996358,1.125
9c80b580,20240918_122330,gpt2medium-355m,8,8.911118124990026,7.112888999996358,1.125
05394eda,20240918_122330,gpt2medium-355m,8,8.497228207997978,7.112888999996358,1.125
cd93cd31,20240918_122336,gpt2medium-355m,8,11.904169625006034,6.068919875004212,1.318
123221ae,20240918_122336,gpt2medium-355m,8,11.614177792012924,6.068919875004212,1.318
f2b51e5e,20240918_122336,gpt2medium-355m,8,11.197158750001108,6.068919875004212,1.318
28db938f,20240918_122336,gpt2medium-355m,8,10.974916542007122,6.068919875004212,1.318
1a351188,20240918_122336,gpt2medium-355m,8,10.574490125000011,6.068919875004212,1.318
62ebf739,20240918_122336,gpt2medium-355m,8,9.852615542011335,6.068919875004212,1.318
b9d874ac,20240918_122336,gpt2medium-355m,8,9.195106708008097,6.068919875004212,1.318
936f71f4,20240918_122336,gpt2medium-355m,8,8.867206000009901,6.068919875004212,1.318
b107e93b,20240918_122338,gpt2-124m,8,11.61987133299408,2.289663791991188,3.494
b6c85e0a,20240918_122338,gpt2-124m,8,11.528748083001119,2.289663791991188,3.494
387d3e4d,20240918_122338,gpt2-124m,8,11.291862624988426,2.289663791991188,3.494
46caf3c1,20240918_122338,gpt2-124m,8,10.848270999995293,2.289663791991188,3.494
92cb2b07,20240918_122338,gpt2-124m,8,10.812912624998717,2.289663791991188,3.494
8ea8e11b,20240918_122338,gpt2-124m,8,10.653979291993892,2.289663791991188,3.494
b69414e2,20240918_122338,gpt2-124m,8,9.833173207996879,2.289663791991188,3.494
11a90627,20240918_122338,gpt2-124m,8,9.573936624990893,2.289663791991188,3.494
0f2c68f7,20240918_122340,distilgpt2-124m,8,17.59984433298814,1.867114708002191,4.285
43f4562e,20240918_122340,distilgpt2-124m,8,17.469698332992266,1.867114708002191,4.285
10aba4ae,20240918_122340,distilgpt2-124m,8,17.18323379100184,1.867114708002191,4.285
13ce3e31,20240918_122340,distilgpt2-124m,8,16.793146957992576,1.867114708002191,4.285
ce0905c5,20240918_122340,distilgpt2-124m,8,15.827340541000012,1.867114708002191,4.285
97a03c4a,20240918_122340,distilgpt2-124m,8,15.399345083002117,1.867114708002191,4.285
6f1f1167,20240918_122340,distilgpt2-124m,8,15.12045787498937,1.867114708002191,4.285
58c4a693,20240918_122340,distilgpt2-124m,8,14.31515270798991,1.867114708002191,4.285
