request_id,model,batch_size,latency,throughput
7928cf02,gpt2medium-355m,1,2.912363466108218,0.773
325cd44d,gpt2medium-355m,1,2.354522241046652,1.309
5b283e92,gpt2-124m,1,0.8859861029777676,2.439
4b0acab4,distilgpt2-124m,1,0.553305568988435,3.951
9ba255cc,gpt2-124m,1,0.6776898769894615,2.448
0e61febe,gpt2medium-355m,1,1.331635662005283,1.374
2ba68860,gpt2medium-355m,1,0.7644618690246716,1.316
e1cb4079,gpt2-124m,1,0.6756891870172694,2.433
7c4e3f88,gpt2-124m,1,0.40917444904334843,2.453
57553bd4,distilgpt2-124m,1,0.41774767194874585,3.958
5d70e94a,gpt2medium-355m,1,1.3043446539668366,1.389
c09b0198,distilgpt2-124m,1,0.4389245540369302,3.991
