request_id,timestamp,model,batch_size,latency (s),processing time (s),throughput (qps)
023e403d,20240918_121716,gpt2medium-355m,8,7.993439832993317,6.000448582999525,1.333
bf83b727,20240918_121716,gpt2medium-355m,8,7.8417507080012,6.000448582999525,1.333
620247dd,20240918_121716,gpt2medium-355m,8,7.445997041999362,6.000448582999525,1.333
d1a2d60e,20240918_121716,gpt2medium-355m,8,7.392120374992373,6.000448582999525,1.333
429c661b,20240918_121716,gpt2medium-355m,8,7.3277852079918375,6.000448582999525,1.333
7d1a2b95,20240918_121716,gpt2medium-355m,8,6.918653000000631,6.000448582999525,1.333
1096b0ac,20240918_121716,gpt2medium-355m,8,6.279177082993556,6.000448582999525,1.333
98d4369a,20240918_121716,gpt2medium-355m,8,6.161887166992528,6.000448582999525,1.333
1c5eaf16,20240918_121718,distilgpt2-124m,8,7.334905708004953,1.6160521669953596,4.95
3dd34d72,20240918_121718,distilgpt2-124m,8,7.310696750006173,1.6160521669953596,4.95
bd715ff2,20240918_121718,distilgpt2-124m,8,6.262498791998951,1.6160521669953596,4.95
d7e11418,20240918_121718,distilgpt2-124m,8,5.6026397079986054,1.6160521669953596,4.95
87daa6dc,20240918_121718,distilgpt2-124m,8,5.491149875000701,1.6160521669953596,4.95
b55a0eaf,20240918_121718,distilgpt2-124m,8,5.274851249996573,1.6160521669953596,4.95
f302af1a,20240918_121718,distilgpt2-124m,8,4.718783624994103,1.6160521669953596,4.95
97288f6e,20240918_121718,distilgpt2-124m,8,3.576705083003617,1.6160521669953596,4.95
c5f7edd3,20240918_121720,gpt2-124m,8,6.886111875006463,2.213738917009323,3.614
02934228,20240918_121720,gpt2-124m,8,6.2754535830026725,2.213738917009323,3.614
c5a34122,20240918_121720,gpt2-124m,8,5.614380250000977,2.213738917009323,3.614
fd101aae,20240918_121720,gpt2-124m,8,5.404310666999663,2.213738917009323,3.614
4ddc0348,20240918_121720,gpt2-124m,8,5.169612625002628,2.213738917009323,3.614
b5a4faf9,20240918_121720,gpt2-124m,8,4.541515500008245,2.213738917009323,3.614
c4dc82cc,20240918_121720,gpt2-124m,8,3.9066960830095923,2.213738917009323,3.614
b2b531da,20240918_121720,gpt2-124m,8,3.6919425829983084,2.213738917009323,3.614
636a3458,20240918_121728,gpt2medium-355m,8,10.715124583002762,7.088982125002076,1.129
06e80326,20240918_121728,gpt2medium-355m,8,10.32723516599799,7.088982125002076,1.129
7169bffb,20240918_121728,gpt2medium-355m,8,10.27927083299437,7.088982125002076,1.129
d506d03e,20240918_121728,gpt2medium-355m,8,9.743813875000342,7.088982125002076,1.129
b2987efd,20240918_121728,gpt2medium-355m,8,9.535529582994059,7.088982125002076,1.129
cd3531b2,20240918_121728,gpt2medium-355m,8,9.037181249994319,7.088982125002076,1.129
774a0023,20240918_121728,gpt2medium-355m,8,8.234557791001862,7.088982125002076,1.129
72bbabd6,20240918_121728,gpt2medium-355m,8,7.819905374999507,7.088982125002076,1.129
0c36de24,20240918_121733,gpt2medium-355m,8,10.921627624993562,5.764788957996643,1.388
4eb66fef,20240918_121733,gpt2medium-355m,8,10.632248832989717,5.764788957996643,1.388
a56f8bf6,20240918_121733,gpt2medium-355m,8,10.21520954099833,5.764788957996643,1.388
2eac3ec3,20240918_121733,gpt2medium-355m,8,9.991635790996952,5.764788957996643,1.388
e40ed247,20240918_121733,gpt2medium-355m,8,9.593129207991296,5.764788957996643,1.388
c8a7b120,20240918_121733,gpt2medium-355m,8,8.870635125000263,5.764788957996643,1.388
fa5e5cbb,20240918_121733,gpt2medium-355m,8,8.212399415991968,5.764788957996643,1.388
001fbaf2,20240918_121733,gpt2medium-355m,8,7.883552540995879,5.764788957996643,1.388
a306d654,20240918_121736,gpt2-124m,8,10.614936624988331,2.2744848750007804,3.517
cb0d27a0,20240918_121736,gpt2-124m,8,10.52405708299193,2.2744848750007804,3.517
c5498d54,20240918_121736,gpt2-124m,8,10.286490917002084,2.2744848750007804,3.517
0d48586a,20240918_121736,gpt2-124m,8,9.842431749988464,2.2744848750007804,3.517
dde156dd,20240918_121736,gpt2-124m,8,9.807743249999476,2.2744848750007804,3.517
0545d8a3,20240918_121736,gpt2-124m,8,9.649129457990057,2.2744848750007804,3.517
e92a5dcb,20240918_121736,gpt2-124m,8,8.828927875001682,2.2744848750007804,3.517
1d7e2b1d,20240918_121736,gpt2-124m,8,8.570175000000745,2.2744848750007804,3.517
66967df3,20240918_121737,distilgpt2-124m,8,16.44536495799548,1.7041192499891622,4.695
006c591b,20240918_121737,distilgpt2-124m,8,16.291081416988163,1.7041192499891622,4.695
dc1fbe23,20240918_121737,distilgpt2-124m,8,16.004266291987733,1.7041192499891622,4.695
c4eba3cf,20240918_121737,distilgpt2-124m,8,15.614455124989036,1.7041192499891622,4.695
715ed1d7,20240918_121737,distilgpt2-124m,8,14.647558124997886,1.7041192499891622,4.695
a3527995,20240918_121737,distilgpt2-124m,8,14.219978499997524,1.7041192499891622,4.695
6940005b,20240918_121737,distilgpt2-124m,8,13.941650666994974,1.7041192499891622,4.695
eda3d9e6,20240918_121737,distilgpt2-124m,8,13.13566545798676,1.7041192499891622,4.695
