model_name,model_size,mean_loading_time,mean_unloading_time
gpt2-124m,0.93,0.055,0.0048
distilgpt2-124m,0.61,0.0373,0.0042
gptneo-125m,0.94,0.0511,0.0058
gpt2medium-355m,2.65,0.0645,0.0071
