request_id,latency,batch_size,model
cab0b86e,0.4725248329996248,1,gpt2-124m
9feb2549,1.8908644580005785,1,gpt2medium-355m
b6cbc9fe,2.1312487499999406,1,gpt2-124m
c10ebe61,0.8576578749998589,1,gpt2-124m
16018d7b,0.6321023749987944,1,gpt2-124m
1efa83d3,0.813704250002047,1,distilgpt2-124m
6299f2f6,2.6577607079998415,1,gpt2medium-355m
a5f45b25,0.7689102080003067,1,distilgpt2-124m
b5cbda69,1.6920570420006698,1,gpt2-124m
cf9f2c33,0.3853674579986546,1,gpt2-124m
7faa0d30,1.3606560829975933,1,gpt2medium-355m
47874b90,1.5826642089996312,1,gpt2medium-355m
c628715a,1.966830208999454,1,gpt2medium-355m
a688a765,0.5603269999992335,1,gpt2-124m
43c3c7a4,1.0311272500002815,1,distilgpt2-124m
d801edea,1.5911677090007288,1,gpt2medium-355m
c1f3c2f6,1.3514421670006413,1,gpt2medium-355m
36e9de23,1.4863681669994548,1,gpt2medium-355m
c7014d37,2.0976470409987087,1,gpt2medium-355m
5148c01f,0.8067594999993162,1,gpt2-124m
af42338d,2.8801208340009907,1,gpt2medium-355m
2b73d647,0.6620818750016042,1,distilgpt2-124m
a8af4adb,0.583019833000435,1,distilgpt2-124m
f73e5f46,1.3308455829974264,1,gpt2medium-355m
77444a89,0.6173627079988364,1,gpt2-124m
e3e3bac8,0.3969981660011399,1,distilgpt2-124m
cfee0dd0,0.3194202079976094,1,distilgpt2-124m
36bf99d8,0.6999996669983375,1,gpt2-124m
4c20fbab,0.486707000000024,1,gpt2-124m
08d5e105,0.630959875001281,1,gpt2-124m
8d37664a,1.9083589580004627,1,gpt2medium-355m
556f16f3,1.36797262500113,1,gpt2medium-355m
06cd8cd5,1.391402500001277,1,gpt2-124m
d62bb579,0.9807272500002,1,gpt2-124m
46d2af56,2.510656166999979,1,distilgpt2-124m
2a8f6ca6,1.4470439579999947,1,gpt2-124m
75a8324a,1.6670295420008188,1,gpt2medium-355m
cabd3ec3,0.5018291250016773,1,distilgpt2-124m
9d3bef49,1.5597091669988004,1,gpt2-124m
c7942de9,1.468860582997877,1,gpt2medium-355m
8c5d57a7,1.0294495000016468,1,gpt2-124m
7cba80e7,0.6088569579987961,1,gpt2-124m
7e7c8a67,2.053534667000349,1,gpt2medium-355m
24369dac,2.05192416600039,1,gpt2medium-355m
32527a18,1.4416211669995391,1,distilgpt2-124m
61eafcd6,2.7938259590009693,1,gpt2medium-355m
e3c8d3a5,1.7405558749996999,1,distilgpt2-124m
f57a912d,2.046480042001349,1,gpt2medium-355m
95d7a90a,1.7240495410005678,1,gpt2-124m
8f465a87,2.9021009579992096,1,gpt2medium-355m
60dad374,1.6456866660009837,1,distilgpt2-124m
4075b8e3,0.588874000000942,1,gpt2-124m
95b5bb5d,3.0703994579998835,1,gpt2medium-355m
c2e49a6b,0.6022232920004171,1,distilgpt2-124m
cdb9ae3d,0.5416690000020026,1,distilgpt2-124m
4be3fcfe,0.5615172919970064,1,distilgpt2-124m
47385ad9,2.054619750000711,1,gpt2medium-355m
bc1ceab3,0.8237314159996458,1,distilgpt2-124m
f3955212,2.112217707999662,1,gpt2medium-355m
594047b9,1.805732333999913,1,distilgpt2-124m
ebe0e61d,2.1005304169993906,1,gpt2medium-355m
45b97d0c,0.9058231250019162,1,gpt2-124m
f573bc92,1.0894192910018319,1,distilgpt2-124m
bdab2710,2.3027495829992404,1,gpt2medium-355m
b5e1fd7e,1.5133197079994716,1,distilgpt2-124m
c6c5cddf,0.8945903749990975,1,gpt2-124m
e229f7ce,1.697471333998692,1,gpt2medium-355m
37d13146,0.6467275410032016,1,distilgpt2-124m
59bc17bd,0.8446487920009531,1,gpt2-124m
70fcc7c5,0.46577937500114786,1,gpt2-124m
