request_id,latency,batch_size,model
6883a335,4.551693540999622,1,gpt2medium-355m
71d1,4.485914916000183,1,gpt2medium-355m
30a8,4.485901291000118,1,gpt2medium-355m
40c9,4.485893249999208,1,gpt2medium-355m
756958d6,5.949333665999802,4,gpt2-124m
64e1066d,5.820849915999133,4,gpt2-124m
92a5364b,5.193722457999684,4,gpt2-124m
70af16c0,4.675603582998519,4,gpt2-124m
c47fbe54,4.34423145800065,2,gpt2medium-355m
4b5ef275,3.073410082999544,2,gpt2medium-355m
3ee5,2.423729457999798,2,gpt2medium-355m
5f35,2.4237240410002414,2,gpt2medium-355m
5c543dac,7.367686124998727,4,distilgpt2-124m
817b9fb6,6.454488874998788,4,distilgpt2-124m
5d5a1940,5.017262374998609,4,distilgpt2-124m
7ec68793,1.6367350410000654,4,distilgpt2-124m
d64dc528,4.500888915999894,2,gpt2-124m
df5f6b65,3.040367415998844,2,gpt2-124m
7a05,0.8976484579998214,2,gpt2-124m
8096,0.8976428329988266,2,gpt2-124m
4814b7b4,4.880150958999366,2,gpt2-124m
437d9662,3.079601958999774,2,gpt2-124m
c3af,0.7176399170002696,2,gpt2-124m
90a4,0.717618874999971,2,gpt2-124m
69e6775f,3.776996208000128,1,distilgpt2-124m
8899,0.5431208329991932,1,distilgpt2-124m
463b,0.5431042500003969,1,distilgpt2-124m
192c,0.5430927500001417,1,distilgpt2-124m
d85a890c,14.326757833001466,2,gpt2medium-355m
50cae636,2.6789772500014806,2,gpt2medium-355m
623b,2.601360166001541,2,gpt2medium-355m
4a60,2.60134008300156,2,gpt2medium-355m
a9f8018f,5.520181459000014,1,gpt2-124m
3edf,0.8656865840002865,1,gpt2-124m
3c6e,0.8656833339991863,1,gpt2-124m
d8a7,0.8656811250002647,1,gpt2-124m
c41051e3,5.589260665999973,3,gpt2medium-355m
51ff68da,4.638506041001165,3,gpt2medium-355m
ef1c4ffb,2.9009399580008903,3,gpt2medium-355m
e832,2.824502500001472,3,gpt2medium-355m
958f701f,3.445291250000082,1,gpt2-124m
98d1,1.0765632499987987,1,gpt2-124m
9b31,1.0765491669990297,1,gpt2-124m
fb88,1.0765421249998326,1,gpt2-124m
0bf91cf2,4.086458333000337,3,distilgpt2-124m
a50b287d,2.4932870409993484,3,distilgpt2-124m
552690f4,1.1416928329999791,3,distilgpt2-124m
5a4c,0.8408214999999473,3,distilgpt2-124m
ffff6eb8,3.101913874999809,1,gpt2-124m
f009,0.6850447500000882,1,gpt2-124m
3bf1,0.6850240840012702,1,gpt2-124m
0f28,0.6850095000008878,1,gpt2-124m
